SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1462.40,1501.50,1448.00,1460.40,1460.40,1462.85,400,17899,26354935.00,
500003,AEGIS LOGIS ,A ,Q,185.45,187.00,173.10,174.10,173.25,182.55,982,20655,3700031.00,
500008,AMAR RAJA BA,A ,Q,714.25,714.25,684.00,688.50,690.30,711.95,330,12199,8504205.00,
500009,A.SARABHAI  ,X ,Q,9.90,10.47,9.90,10.20,10.20,10.13,12,2032,20812.00,
500010,HDFC        ,A ,Q,1996.90,2016.25,1973.00,1976.90,1976.90,1974.90,9360,241216,481963642.00,
500012,ANDHRA PETRO,X ,Q,38.00,39.20,36.90,37.40,37.90,38.20,218,37134,1397333.00,
500013,ANSAL INFRAS,B ,Q,4.32,4.65,4.32,4.32,4.32,4.54,58,14120,61073.00,
500014,APPLE FINANC,X ,Q,1.01,1.05,0.95,0.95,0.95,1.00,60,30079,29194.00,
500016,ARUNAHTEL   ,XT,Q,5.45,5.98,5.45,5.98,5.98,5.70,2,201,1201.00,
500020,BOM DYEING  ,A ,Q,73.50,75.75,71.30,72.05,72.05,73.10,1953,180832,13259509.00,
500023,ASIANHOTNR  ,B ,Q,100.15,107.65,100.15,101.25,101.25,105.05,12,156,15899.00,
500024,ASSAMCO     ,T ,Q,0.55,0.57,0.54,0.57,0.57,0.55,18,44073,25099.00,
500027,ATUL LTD.   ,A ,Q,3988.00,4031.15,3953.15,3964.75,3958.55,4015.85,342,6063,24330103.00,
500028,ATV PROJECTS,XT,Q,3.35,3.64,3.35,3.62,3.64,3.47,8,1701,6170.00,
500029,AUTOLITE(I) ,B ,Q,21.25,21.25,21.10,21.10,21.10,22.20,24,2200,46435.00,
500031,BAJAJ ELECT.,A ,Q,392.00,394.00,383.80,389.85,388.95,386.60,410,6838,2668894.00,
500032,BAJAJHIND   ,B ,Q,6.90,6.90,6.20,6.31,6.31,6.60,184,119876,769229.00,
500033,FORCE MOTR  ,A ,Q,1077.05,1128.80,1077.05,1104.75,1104.75,1083.30,2167,12752,14111394.00,
500034,BAJFINANCE  ,A ,Q,3980.00,4003.00,3892.15,3902.85,3902.85,3960.10,4339,51571,203899123.00,
500038,BALRAM.CHINI,A ,Q,163.30,163.75,152.40,155.70,155.60,163.05,2263,81845,12935313.00,
500039,BANCO PROD. ,B ,Q,101.70,103.00,97.00,97.95,99.95,100.20,814,12555,1255894.00,
500040,CENTURY TEXT,A ,Q,891.90,898.40,867.00,869.90,868.00,889.35,1753,53969,47543860.00,
500041,BANNARI AMAN,B ,Q,1284.95,1284.95,1126.00,1186.05,1190.00,1186.00,27,176,200388.00,
500042,BASF INDIA  ,A ,Q,987.35,1012.35,950.00,983.10,977.00,992.25,108,496,488282.00,
500043,BATA INDIA  ,A ,Q,1691.00,1699.00,1668.70,1673.65,1676.25,1687.25,849,16953,28551652.00,
500048,BEML LTD    ,A ,Q,963.90,983.00,936.05,941.35,941.35,956.10,2778,79282,76342219.00,
500049,BHARAT ELECT,A ,Q,105.80,107.50,104.25,104.95,105.05,105.40,2053,543890,57574598.00,
500052,BHANSALI ENG,B ,Q,54.40,54.40,50.40,50.95,50.95,54.00,958,112554,5909231.00,
500055,TATASTLBSL  ,B ,Q,21.65,21.80,21.00,21.15,21.00,21.35,164,46642,994365.00,
500058,BIHAR SPONGE,XT,Q,0.55,0.55,0.55,0.55,0.55,0.57,4,1431,787.00,
500059,BINANI IND. ,Z ,Q,9.30,9.75,9.06,9.41,9.40,9.52,23,2388,22551.00,
500060,BIRLACABLE  ,B ,Q,48.05,50.15,47.55,48.35,48.35,49.50,62,4820,235405.00,
500067,BLUE STAR   ,A ,Q,794.95,804.00,785.30,797.80,797.80,795.30,170,838,666446.00,
500068,DISA INDIA  ,X ,Q,5002.00,5089.50,5000.00,5000.00,5000.00,5000.00,17,162,810651.00,
500069,BNK CAPITAL ,X ,Q,71.25,71.25,71.25,71.25,71.25,71.25,3,27,1923.00,
500074,BPL LTD.    ,B ,Q,22.60,22.60,20.80,20.95,20.95,20.60,139,21222,454293.00,
500078,OAL         ,B ,Q,186.00,197.70,186.00,190.00,190.00,186.90,124,806,153024.00,
500083,CENTURY EXT ,B ,Q,3.07,3.07,2.80,2.86,2.88,2.99,11,3280,9444.00,
500084,CESC LTD.   ,A ,Q,756.00,760.00,729.00,731.65,731.00,748.85,493,8305,6174061.00,
500085,CHAMBAL FERT,A ,Q,150.90,152.50,147.35,149.80,150.45,149.20,469,14016,2112722.00,
500086,EXIDE IND.  ,A ,Q,198.70,198.70,189.05,190.10,189.95,196.10,786,58764,11266896.00,
500087,CIPLA LTD.  ,A ,Q,421.80,431.05,416.65,418.35,418.35,418.10,3777,148442,63018296.00,
500089,DIC INDIA   ,B ,Q,371.95,371.95,329.05,350.00,350.00,349.05,11,26,9023.00,
500092,CRISIL LTD  ,A ,Q,1292.00,1330.50,1292.00,1322.75,1328.00,1312.10,104,436,574079.00,
500093,CGPOWER     ,A ,Q,14.74,14.74,14.74,14.74,14.74,14.04,80,26432,389607.00,
500096,DABUR (I)   ,A ,Q,432.55,436.45,425.00,425.95,425.00,433.85,851,50692,21744182.00,
500097,DALMIASUG   ,B ,Q,93.00,93.35,90.00,90.45,90.00,91.10,212,8718,791274.00,
