SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
505978,TRITON VALVE,X ,Q,860.00,899.80,860.00,885.00,885.00,883.95,18,244,214987.00,XD
506022,PRAKASH IND.,B ,Q,57.40,57.40,55.00,56.85,56.85,56.70,179,19754,1111660.00,
506074,ARSHIYA     ,B ,Q,25.95,26.55,25.30,26.00,25.95,25.40,101,16630,432683.00,
506076,GRIND NORTON,A ,Q,584.85,590.00,572.60,579.75,575.25,577.15,68,378,219333.00,
506105,STANROSE MAF,X ,Q,85.20,85.20,85.20,85.20,85.20,87.85,2,6,511.00,
506109,GENESYS INT.,B ,Q,87.50,87.50,81.60,84.10,84.00,83.00,93,2895,242454.00,
506122,PANKAJPIYUS ,XT,Q,27.85,27.85,27.85,27.85,27.85,27.10,1,1,27.00,
506128,PARNAXLAB   ,X ,Q,27.50,28.90,25.60,27.70,27.70,26.60,10,1166,32350.00,
506146,VISAGAR POL ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,2,415,78.00,
506194,ARIH SUPER  ,B ,Q,32.85,32.85,32.00,32.80,32.80,31.50,6,5480,175409.00,
506197,BLISSGVS PH ,B ,Q,117.70,117.70,108.05,109.50,109.50,108.95,601,47387,5318130.00,
506222,INEOSSTYRO  ,B ,Q,635.00,648.90,635.00,642.80,642.80,635.25,52,593,380318.00,
506235,ALEMBIC LTD.,B ,Q,45.75,46.20,44.50,44.75,44.75,44.95,1299,35869,1610086.00,
506248,AMINES&PLAST,X ,Q,34.95,37.00,33.90,35.90,36.00,34.50,50,4155,146571.00,
506260,ANUH PHARMA ,X ,Q,153.50,158.50,153.50,156.05,157.00,157.40,66,3025,471879.00,
506261,MODISON MET.,X ,Q,35.30,36.80,34.05,35.60,35.00,35.25,28,5878,206373.00,
506285,BAYER CROP  ,A ,Q,3162.10,3176.70,3159.20,3172.15,3163.00,3154.50,17,40,126642.00,
506390,CLARI CHEM  ,B ,Q,300.00,301.00,296.15,299.25,299.90,299.60,196,2298,688691.00,
506395,COROM INTER ,A ,Q,395.00,409.45,394.20,398.95,398.20,398.55,292,3548,1416283.00,
506401,DEEPAK NITR.,A ,Q,274.00,278.30,273.25,277.00,277.00,274.05,404,11828,3267046.00,
506405,DHARAMSI CHM,X ,Q,134.00,137.40,131.65,133.00,133.00,132.80,39,2274,303339.00,
506414,DIL LTD     ,X ,Q,910.00,947.00,901.00,927.95,935.00,910.05,146,2143,1982377.00,
506480,GOCLCORP    ,B ,Q,309.85,315.00,307.25,309.60,309.60,309.05,26,1017,315468.00,
506520,JAYSHRI CHEM,XT,Q,5.54,5.54,5.54,5.54,5.54,5.28,8,1144,6337.00,
506522,JL MORISON  ,X ,Q,1350.00,1369.00,1310.00,1317.10,1315.00,1343.85,51,5250,6994409.00,
506525,KANORIA CHEM,B ,Q,46.50,47.00,46.00,46.80,46.35,47.55,431,5789,269733.00,
506528,KELTECH EN. ,X ,Q,668.00,670.00,637.20,669.95,670.00,654.15,10,407,272208.00,
506532,NITTA GELA  ,X ,Q,107.75,116.40,107.75,116.35,116.00,107.75,13,302,34507.00,
506543,M.P.AGRO IND,XT,Q,2.36,2.36,2.36,2.36,2.36,2.40,1,100,236.00,
506579,ORIENT.CARB.,B ,Q,1033.40,1039.90,1020.00,1026.25,1022.00,1024.40,88,3041,3125126.00,
506590,PHIL.CARBON ,A ,Q,120.00,122.30,118.00,119.30,119.30,119.20,1098,87470,10464753.00,
506597,AMAL PRODUCT,X ,Q,125.70,125.70,121.00,121.00,121.00,121.75,38,718,88221.00,
506618,PUN.CHEM    ,B ,Q,542.00,553.70,542.00,553.70,553.70,558.50,2,2,1095.00,
506642,SADHANA NITR,X ,Q,114.80,114.80,107.20,110.25,110.50,112.05,118,4539,500557.00,
506655,SUDARSH.CHEM,A ,Q,340.00,343.15,330.70,338.00,338.00,339.90,197,3467,1160536.00,
506685,ULTRAMARINE ,X ,Q,195.00,195.00,191.25,191.35,191.25,194.70,19,929,178147.00,
